,name,date,platform,score,url,userscore,genre
0,The Legend of Zelda: Breath of the Wild,2017-03-03,Switch,97,/game/switch/the-legend-of-zelda-breath-of-the-wild,8.7,"Action Adventure,Open-World"
1,Super Mario Odyssey,2017-10-27,Switch,97,/game/switch/super-mario-odyssey,8.9,"Action,Platformer,3D"
2,The House in Fata Morgana - Dreams of the Revenants Edition -,2021-04-09,Switch,97,/game/switch/the-house-in-fata-morgana---dreams-of-the-revenants-edition--,8.3,"Adventure,Visual Novel"
3,Tetris Effect: Connected,2021-10-08,Switch,95,/game/switch/tetris-effect-connected,8.3,"Puzzle,Stacking"
4,Hades,2020-09-17,Switch,93,/game/switch/hades,9.0,"Action Adventure,General,Linear"
5,Divinity: Original Sin II - Definitive Edition,2019-09-04,Switch,93,/game/switch/divinity-original-sin-ii---definitive-edition,8.4,"Role-Playing,Western-Style"
6,Ori and the Will of the Wisps,2020-09-17,Switch,93,/game/switch/ori-and-the-will-of-the-wisps,8.7,"Action,Platformer,2D"
7,Undertale,2018-09-18,Switch,93,/game/switch/undertale,8.2,"Role-Playing,Japanese-Style"
8,Super Smash Bros. Ultimate,2018-12-07,Switch,93,/game/switch/super-smash-bros-ultimate,8.6,"Action,Fighting,2D"
9,Celeste,2018-01-25,Switch,92,/game/switch/celeste,8.6,"Action,Platformer,2D"
10,A Monster's Expedition,2021-08-05,Switch,92,/game/switch/a-monsters-expedition,7.6,"Puzzle,Action"
11,Spelunky 2,2021-08-26,Switch,92,/game/switch/spelunky-2,8.0,"Action,Platformer,2D"
12,Bayonetta 2,2018-02-16,Switch,92,/game/switch/bayonetta-2,8.5,"Action Adventure,Linear"
13,Mario Kart 8 Deluxe,2017-04-28,Switch,92,/game/switch/mario-kart-8-deluxe,8.6,"Other,Racing,Arcade,Automobile"
14,INSIDE,2018-06-28,Switch,91,/game/switch/inside,8.6,"Action,Platformer,2D"
15,Retro City Rampage DX,2017-08-03,Switch,91,/game/switch/retro-city-rampage-dx,7.9,"Action Adventure,Open-World"
16,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,2019-09-27,Switch,91,/game/switch/dragon-quest-xi-s-echoes-of-an-elusive-age---definitive-edition,8.9,"Role-Playing,Japanese-Style"
17,Sonic Mania Plus,2018-07-17,Switch,91,/game/switch/sonic-mania-plus,8.1,"Action,Platformer,2D"
18,Unavowed,2021-07-07,Switch,91,/game/switch/unavowed,8.1,"General,Adventure,Point-and-Click"
19,SteamWorld Heist: Ultimate Edition,2017-12-28,Switch,91,/game/switch/steamworld-heist-ultimate-edition,8.2,"Strategy,Turn-Based,General"
20,Shovel Knight: Treasure Trove,2017-03-03,Switch,91,/game/switch/shovel-knight-treasure-trove,8.2,"Action,Platformer,2D"
21,Animal Crossing: New Horizons,2020-03-20,Switch,90,/game/switch/animal-crossing-new-horizons,5.5,"Simulation,Virtual,Virtual Life"
22,Ori and the Blind Forest: Definitive Edition,2019-09-27,Switch,90,/game/switch/ori-and-the-blind-forest-definitive-edition,8.6,"Action,Platformer,2D"
23,Bastion,2018-09-13,Switch,90,/game/switch/bastion,7.7,"Role-Playing,Action RPG"
24,Florence,2020-02-13,Switch,90,/game/switch/florence,6.1,"Adventure,General,Visual Novel"
25,Hollow Knight,2018-06-12,Switch,90,/game/switch/hollow-knight,9.0,"Action Adventure,General"
