,qid,docid,docno,rank,score,query,name
0,1,30,d30,0,13.260552759467558,Hollow Knight,Hollow Knight
1,1,24,d24,1,9.039894958269185,Hollow Knight,Shovel Knight: Treasure Trove
2,1,83,d83,2,5.9061982218234865,Hollow Knight,Trine 2: Complete Story
0,1,30,d30,0,7.8383199338057254,Hollow Knight,Hollow Knight
1,1,24,d24,1,5.240636854247371,Hollow Knight,Shovel Knight: Treasure Trove
2,1,83,d83,2,3.42396014695559,Hollow Knight,Trine 2: Complete Story
0,1,30,d30,0,6.1272946613205015,Hollow Knight,Hollow Knight
1,1,24,d24,1,4.277253946274619,Hollow Knight,Shovel Knight: Treasure Trove
2,1,83,d83,2,2.0704826521979265,Hollow Knight,Trine 2: Complete Story
0,1,30,d30,0,15.281973280378821,Hollow Knight,Hollow Knight
1,1,24,d24,1,11.782865299937475,Hollow Knight,Shovel Knight: Treasure Trove
2,1,83,d83,2,8.13591779717875,Hollow Knight,Trine 2: Complete Story
