,qid,docid,docno,rank,score,query,name
0,1,61,d61,0,6.905162780395217,I can fly,Monster Hunter Rise
1,1,36,d36,1,1.7875439232863188,I can fly,Super Mario 3D World + Bowser's Fury
2,1,65,d65,2,1.780060659193672,I can fly,Ikaruga
3,1,69,d69,3,1.722377031828213,I can fly,Deemo
4,1,48,d48,4,1.6815095055331042,I can fly,Dicey Dungeons
5,1,58,d58,5,1.6749960205574106,I can fly,Unsighted
6,1,78,d78,6,1.6238228914021793,I can fly,Enter the Gungeon
7,1,31,d31,7,1.6144207929664576,I can fly,Bayonetta + Bayonetta 2
8,1,56,d56,8,1.5756838671583628,I can fly,FAR: Lone Sails
9,1,9,d9,9,1.5413188103057034,I can fly,Undertale
10,1,27,d27,10,1.4771542085797336,I can fly,Bastion
11,1,60,d60,11,1.4618344856151098,I can fly,Super Mario Maker 2
12,1,32,d32,12,1.446993386080658,I can fly,Chicory: A Colorful Tale
13,1,86,d86,13,1.3722750414772173,I can fly,DoDonPachi Resurrection
14,1,29,d29,14,1.363474332193507,I can fly,The Forgotten City
15,1,67,d67,15,1.3377367106538665,I can fly,Cave Story +
16,1,71,d71,16,1.329372080511174,I can fly,Stardew Valley
17,1,14,d14,17,1.2585468504513813,I can fly,Dead Cells: The Queen & The Sea
18,1,81,d81,18,1.188208590731057,I can fly,Two Point Campus
19,1,3,d3,19,1.1496570457438384,I can fly,Portal Companion Collection
20,1,55,d55,20,1.1496570457438384,I can fly,Nuclear Throne
21,1,96,d96,21,1.119391408479105,I can fly,Little Noah: Scion of Paradise
22,1,68,d68,22,1.1077266935385173,I can fly,Bayonetta 3
23,1,99,d99,23,1.0687472863315874,I can fly,Firewatch
24,1,39,d39,24,0.9984771592265284,I can fly,NieR: Automata - The End of YoRHa Edition
0,1,61,d61,0,4.551448207245033,I can fly,Monster Hunter Rise
1,1,36,d36,1,1.7063344274660746,I can fly,Super Mario 3D World + Bowser's Fury
2,1,65,d65,2,1.6991911338189856,I can fly,Ikaruga
3,1,69,d69,3,1.644128118028105,I can fly,Deemo
4,1,48,d48,4,1.6051172348971792,I can fly,Dicey Dungeons
5,1,58,d58,5,1.5988996625555854,I can fly,Unsighted
6,1,78,d78,6,1.5500513680318861,I can fly,Enter the Gungeon
7,1,31,d31,7,1.5410764141623319,I can fly,Bayonetta + Bayonetta 2
8,1,56,d56,8,1.5040993366989526,I can fly,FAR: Lone Sails
9,1,9,d9,9,1.4712955108205272,I can fly,Undertale
10,1,27,d27,10,1.4100459563209735,I can fly,Bastion
11,1,60,d60,11,1.3954222201580477,I can fly,Super Mario Maker 2
12,1,32,d32,12,1.3812553631945954,I can fly,Chicory: A Colorful Tale
13,1,86,d86,13,1.3099315304768337,I can fly,DoDonPachi Resurrection
14,1,29,d29,14,1.3015306441873893,I can fly,The Forgotten City
15,1,67,d67,15,1.2769623025975272,I can fly,Cave Story +
16,1,71,d71,16,1.268977684038193,I can fly,Stardew Valley
17,1,14,d14,17,1.2013700986748923,I can fly,Dead Cells: The Queen & The Sea
18,1,81,d81,18,1.1342273602138495,I can fly,Two Point Campus
19,1,3,d3,19,1.0974272415780169,I can fly,Portal Companion Collection
20,1,55,d55,20,1.0974272415780169,I can fly,Nuclear Throne
21,1,96,d96,21,1.068536595501432,I can fly,Little Noah: Scion of Paradise
22,1,68,d68,22,1.0574018175357471,I can fly,Bayonetta 3
23,1,99,d99,23,1.0201932747900537,I can fly,Firewatch
24,1,39,d39,24,0.9531155736271416,I can fly,NieR: Automata - The End of YoRHa Edition
0,1,61,d61,0,3.9277868743048194,I can fly,Monster Hunter Rise
1,1,36,d36,1,1.5476458139935074,I can fly,Super Mario 3D World + Bowser's Fury
2,1,65,d65,2,1.5360333543129663,I can fly,Ikaruga
3,1,69,d69,3,1.4505795881987813,I can fly,Deemo
4,1,48,d48,4,1.3939810086158546,I can fly,Dicey Dungeons
5,1,58,d58,5,1.387460137383625,I can fly,Unsighted
6,1,31,d31,6,1.3308836470171412,I can fly,Bayonetta + Bayonetta 2
7,1,78,d78,7,1.3134932170942946,I can fly,Enter the Gungeon
8,1,56,d56,8,1.249858814287503,I can fly,FAR: Lone Sails
9,1,9,d9,9,1.2202111225619598,I can fly,Undertale
10,1,27,d27,10,1.133649401538512,I can fly,Bastion
11,1,60,d60,11,1.1332158554724725,I can fly,Super Mario Maker 2
12,1,32,d32,12,1.1011603700877357,I can fly,Chicory: A Colorful Tale
13,1,86,d86,13,1.0257266529024083,I can fly,DoDonPachi Resurrection
14,1,29,d29,14,1.0172668242783374,I can fly,The Forgotten City
15,1,67,d67,15,0.9929906259111451,I can fly,Cave Story +
16,1,71,d71,16,0.9852443749199461,I can fly,Stardew Valley
17,1,14,d14,17,0.9222264783864351,I can fly,Dead Cells: The Queen & The Sea
18,1,81,d81,18,0.8636367986071676,I can fly,Two Point Campus
19,1,3,d3,19,0.8329590614500161,I can fly,Portal Companion Collection
20,1,55,d55,20,0.8329590614500161,I can fly,Nuclear Throne
21,1,96,d96,21,0.8094978579705859,I can fly,Little Noah: Scion of Paradise
22,1,68,d68,22,0.8005904541618608,I can fly,Bayonetta 3
23,1,99,d99,23,0.7713236876136719,I can fly,Firewatch
24,1,39,d39,24,0.7202420764466653,I can fly,NieR: Automata - The End of YoRHa Edition
0,1,61,d61,0,6.863238771763375,I can fly,Monster Hunter Rise
1,1,36,d36,1,1.5547870405445852,I can fly,Super Mario 3D World + Bowser's Fury
2,1,65,d65,2,1.5491717556455367,I can fly,Ikaruga
3,1,69,d69,3,1.5059162935496424,I can fly,Deemo
4,1,48,d48,4,1.4752587743927368,I can fly,Dicey Dungeons
5,1,58,d58,5,1.4716167079871343,I can fly,Unsighted
6,1,31,d31,6,1.4390091350594223,I can fly,Bayonetta + Bayonetta 2
7,1,78,d78,7,1.4286088270462778,I can fly,Enter the Gungeon
8,1,56,d56,8,1.3889360929158,I can fly,FAR: Lone Sails
9,1,9,d9,9,1.369537185125366,I can fly,Undertale
10,1,27,d27,10,1.3092600761552173,I can fly,Bastion
11,1,60,d60,11,1.3089437239115984,I can fly,Super Mario Maker 2
12,1,32,d32,12,1.2851300870537399,I can fly,Chicory: A Colorful Tale
13,1,86,d86,13,1.2256158180337542,I can fly,DoDonPachi Resurrection
14,1,29,d29,14,1.2186197403736685,I can fly,The Forgotten City
15,1,67,d67,15,1.1981653136041415,I can fly,Cave Story +
16,1,71,d71,16,1.1915182185203346,I can fly,Stardew Valley
17,1,14,d14,17,1.1351901369347421,I can fly,Dead Cells: The Queen & The Sea
18,1,81,d81,18,1.0790446173304435,I can fly,Two Point Campus
19,1,3,d3,19,1.0481297546818171,I can fly,Portal Companion Collection
20,1,55,d55,20,1.0481297546818171,I can fly,Nuclear Throne
21,1,96,d96,21,1.0237700822340272,I can fly,Little Noah: Scion of Paradise
22,1,68,d68,22,1.0143582536141287,I can fly,Bayonetta 3
23,1,99,d99,23,0.9828040018315055,I can fly,Firewatch
24,1,39,d39,24,0.9254692491497284,I can fly,NieR: Automata - The End of YoRHa Edition
