,qid,docid,docno,rank,score,query,name
0,1,79,d79,0,7.206161881217364,Link,The Legend of Zelda: Link's Awakening
1,1,10,d10,1,5.722341079420125,Link,Super Smash Bros. Ultimate
2,1,0,d0,2,5.467160732171196,Link,The Legend of Zelda: Breath of the Wild
3,1,68,d68,3,4.052696882223411,Link,Bayonetta 3
0,1,79,d79,0,4.177631018213001,Link,The Legend of Zelda: Link's Awakening
1,1,10,d10,1,3.3174150101303956,Link,Super Smash Bros. Ultimate
2,1,0,d0,2,3.1694792085930876,Link,The Legend of Zelda: Breath of the Wild
3,1,68,d68,3,2.349471533066848,Link,Bayonetta 3
0,1,79,d79,0,3.5983437302701544,Link,The Legend of Zelda: Link's Awakening
1,1,10,d10,1,2.543234141348461,Link,Super Smash Bros. Ultimate
2,1,0,d0,2,2.440819915792903,Link,The Legend of Zelda: Breath of the Wild
3,1,68,d68,3,1.6363529690283223,Link,Bayonetta 3
0,1,79,d79,0,6.306492036254131,Link,The Legend of Zelda: Link's Awakening
1,1,10,d10,1,5.134616770726614,Link,Super Smash Bros. Ultimate
2,1,0,d0,2,4.997404524135227,Link,The Legend of Zelda: Breath of the Wild
3,1,68,d68,3,3.7756074624812213,Link,Bayonetta 3
