,qid,docid,docno,rank,score,query,name,relevance
0,1,1,d1,0,7.99335084798039,Mario,Super Mario Odyssey,2
1,1,60,d60,1,7.116327173511078,Mario,Super Mario Maker 2,2
2,1,36,d36,2,6.836622563067607,Mario,Super Mario 3D World + Bowser's Fury,2
3,1,10,d10,3,5.328301616672915,Mario,Super Smash Bros. Ultimate,2
4,1,17,d17,4,4.98556562985721,Mario,Mario Kart 8 Deluxe,2
0,1,1,d1,0,4.6504514090894045,Mario,Super Mario Odyssey,2
1,1,60,d60,1,4.140207825352419,Mario,Super Mario Maker 2,2
2,1,36,d36,2,3.9774784863675934,Mario,Super Mario 3D World + Bowser's Fury,2
3,1,10,d10,3,3.0999524770729407,Mario,Super Smash Bros. Ultimate,2
4,1,17,d17,4,2.9005521150538693,Mario,Mario Kart 8 Deluxe,2
0,1,1,d1,0,4.014491946994116,Mario,Super Mario Odyssey,2
1,1,60,d60,1,3.028606450221684,Mario,Super Mario Maker 2,2
2,1,36,d36,2,2.7649893152378286,Mario,Super Mario 3D World + Bowser's Fury,2
3,1,10,d10,3,1.8163274924786401,Mario,Super Smash Bros. Ultimate,2
4,1,17,d17,4,1.6887612919224466,Mario,Mario Kart 8 Deluxe,2
0,1,1,d1,0,9.005440292308927,Mario,Super Mario Odyssey,2
1,1,60,d60,1,8.179011168803001,Mario,Super Mario Maker 2,2
2,1,36,d36,2,7.869394496251773,Mario,Super Mario 3D World + Bowser's Fury,2
3,1,10,d10,3,6.3062100741961675,Mario,Super Smash Bros. Ultimate,2
4,1,17,d17,4,6.0297616473955395,Mario,Mario Kart 8 Deluxe,2
