,qid,docid,docno,rank,score,query,name,search_score_gt
0,1,70,d70,0,4.891870943121068,Puzzle,FILMECHANISM,2
1,1,12,d12,1,4.180532988951039,Puzzle,A Monster's Expedition,2
2,1,3,d3,2,4.125874273038657,Puzzle,Portal Companion Collection,2
3,1,92,d92,3,4.021019517860273,Puzzle,Grindstone,2
4,1,83,d83,4,3.889025141687402,Puzzle,Trine 2: Complete Story,2
5,1,97,d97,5,3.750695908557101,Puzzle,Velocity 2X,1
6,1,4,d4,6,3.5408890710124363,Puzzle,Tetris Effect: Connected,2
7,1,32,d32,7,3.2275952975723827,Puzzle,Chicory: A Colorful Tale,2
8,1,15,d15,8,3.0609320771290136,Puzzle,OneShot: World Machine Edition,1
9,1,90,d90,9,2.564370860543058,Puzzle,Axiom Verge,2
10,1,8,d8,10,2.3254478119949,Puzzle,Ori and the Will of the Wisps,2
11,1,51,d51,11,1.838589890255601,Puzzle,Tunic,2
12,1,0,d0,12,1.7765981816741274,Puzzle,The Legend of Zelda: Breath of the Wild,2
