,qid,docid,docno,rank,score,query,name
0,1,63,d63,0,4.228190471238779,RPG,Diablo III: Eternal Collection
1,1,37,d37,1,3.8851968400420325,RPG,Fire Emblem: Three Houses
2,1,50,d50,2,3.782906214933967,RPG,Hyper Light Drifter
3,1,61,d61,3,3.107854004860732,RPG,Monster Hunter Rise
4,1,9,d9,4,2.9333693327983443,RPG,Undertale
5,1,39,d39,5,2.6991712437654707,RPG,NieR: Automata - The End of YoRHa Edition
6,1,33,d33,6,2.6865540358843645,RPG,Xenoblade Chronicles: Definitive Edition
7,1,5,d5,7,2.375620278315365,RPG,Persona 5 Royal
8,1,38,d38,8,2.299578461773384,RPG,Xenoblade Chronicles 3
0,1,63,d63,0,2.539532512990645,RPG,Diablo III: Eternal Collection
1,1,37,d37,1,2.333523941688591,RPG,Fire Emblem: Three Houses
2,1,50,d50,2,2.2720862250097675,RPG,Hyper Light Drifter
3,1,61,d61,3,1.8666368851305946,RPG,Monster Hunter Rise
4,1,9,d9,4,1.761838035425245,RPG,Undertale
5,1,39,d39,5,1.6211741590873825,RPG,NieR: Automata - The End of YoRHa Edition
6,1,33,d33,6,1.613596021381622,RPG,Xenoblade Chronicles: Definitive Edition
7,1,5,d5,7,1.4268432267513749,RPG,Persona 5 Royal
8,1,38,d38,8,1.3811710493107368,RPG,Xenoblade Chronicles 3
0,1,63,d63,0,2.4415940657488013,RPG,Diablo III: Eternal Collection
1,1,37,d37,1,2.173693636559997,RPG,Fire Emblem: Three Houses
2,1,50,d50,2,2.098656587283334,RPG,Hyper Light Drifter
3,1,61,d61,3,1.6386362463814323,RPG,Monster Hunter Rise
4,1,9,d9,4,1.5262515192953077,RPG,Undertale
5,1,39,d39,5,1.3776050711940104,RPG,NieR: Automata - The End of YoRHa Edition
6,1,33,d33,6,1.3696456772157273,RPG,Xenoblade Chronicles: Definitive Edition
7,1,5,d5,7,1.1740909439629317,RPG,Persona 5 Royal
8,1,38,d38,8,1.1262233304771598,RPG,Xenoblade Chronicles 3
0,1,63,d63,0,2.4283151380429104,RPG,Diablo III: Eternal Collection
1,1,37,d37,1,2.2484980574998836,RPG,Fire Emblem: Three Houses
2,1,50,d50,2,2.195421412344493,RPG,Hyper Light Drifter
3,1,61,d61,3,1.8450474127050027,RPG,Monster Hunter Rise
4,1,9,d9,4,1.7534075312380066,RPG,Undertale
5,1,39,d39,5,1.6291252452804443,RPG,NieR: Automata - The End of YoRHa Edition
6,1,33,d33,6,1.6223819746579216,RPG,Xenoblade Chronicles: Definitive Edition
7,1,5,d5,7,1.4544307362762692,RPG,Persona 5 Royal
8,1,38,d38,8,1.4127928866175214,RPG,Xenoblade Chronicles 3
