,qid,docid,docno,rank,score,query,name,relevance
0,1,36,d36,0,7.098004108189998,3D Platformer,Super Mario 3D World + Bowser's Fury,5
1,1,83,d83,1,6.890462060862352,3D Platformer,Trine 2: Complete Story,4
2,1,1,d1,2,5.8655043405328895,3D Platformer,Super Mario Odyssey,5
3,1,11,d11,3,4.873563681151325,3D Platformer,Celeste,4
4,1,94,d94,4,4.600486336985779,3D Platformer,Owlboy,4
5,1,97,d97,5,4.5456043350747715,3D Platformer,Velocity 2X,4
6,1,64,d64,6,4.259527165141813,3D Platformer,SteamWorld Dig 2,4
7,1,77,d77,7,3.6389938357563434,3D Platformer,Guacamelee! 2,4
8,1,79,d79,8,3.5059862493577527,3D Platformer,The Legend of Zelda: Link's Awakening,2
9,1,34,d34,9,2.846208387481751,3D Platformer,Dead Cells,4
10,1,91,d91,10,1.7314867066095236,3D Platformer,OlliOlli World,4
0,1,36,d36,0,4.114877671996959,3D Platformer,Super Mario 3D World + Bowser's Fury,5
1,1,83,d83,1,4.052879937310519,3D Platformer,Trine 2: Complete Story,4
2,1,1,d1,2,3.400368959777161,3D Platformer,Super Mario Odyssey, 5
3,1,11,d11,3,2.9271560745909504,3D Platformer,Celeste,4
4,1,94,d94,4,2.7631405699000364,3D Platformer,Owlboy,4
5,1,97,d97,5,2.730177384069341,3D Platformer,Velocity 2X,2
6,1,64,d64,6,2.5583539340116985,3D Platformer,SteamWorld Dig 2,4
7,1,77,d77,7,2.1856496823730454,3D Platformer,Guacamelee! 2,4
8,1,79,d79,8,2.1057627679988515,3D Platformer,The Legend of Zelda: Link's Awakening,2
9,1,34,d34,9,1.7094874954010542,3D Platformer,Dead Cells,4
10,1,91,d91,10,1.0399642156985642,3D Platformer,OlliOlli World,4
0,1,36,d36,0,3.775187248439762,3D Platformer,Super Mario 3D World + Bowser's Fury,5
1,1,83,d83,1,3.2298086266000956,3D Platformer,Trine 2: Complete Story,4
2,1,1,d1,2,2.9251291334332663,3D Platformer,Super Mario Odyssey,5
3,1,11,d11,3,2.8672379482136927,3D Platformer,Celeste,4
4,1,94,d94,4,2.586552957725329,3D Platformer,Owlboy,4
5,1,97,d97,5,2.5306163464116724,3D Platformer,Velocity 2X,2
6,1,64,d64,6,2.294660364061521,3D Platformer,SteamWorld Dig 2,4
7,1,77,d77,7,1.8830107169349681,3D Platformer,Guacamelee! 2,4
8,1,79,d79,8,1.7631818967689346,3D Platformer,The Legend of Zelda: Link's Awakening,2
9,1,34,d34,9,1.3586205104190405,3D Platformer,Dead Cells,4
10,1,91,d91,10,0.6989999806434897,3D Platformer,OlliOlli World,4
0,1,36,d36,0,5.338416954688967,3D Platformer,Super Mario 3D World + Bowser's Fury,5
1,1,83,d83,1,5.134904948663555,3D Platformer,Trine 2: Complete Story,4
2,1,1,d1,2,4.495391334234594,3D Platformer,Super Mario Odyssey,5
3,1,11,d11,3,3.0968191039160775,3D Platformer,Celeste,4
4,1,94,d94,4,2.91935376797988,3D Platformer,Owlboy,4
5,1,97,d97,5,2.881563984338447,3D Platformer,Velocity 2X,2
6,1,64,d64,6,2.7129533417223053,3D Platformer,SteamWorld Dig 2,4
7,1,77,d77,7,2.3821175051753136,3D Platformer,Guacamelee! 2,4
8,1,79,d79,8,2.2769828400748544,3D Platformer,The Legend of Zelda: Link's Awakening,2
9,1,34,d34,9,1.8944703984849733,3D Platformer,Dead Cells,4
10,1,91,d91,10,1.2133223820085806,3D Platformer,OlliOlli World,4
