,qid,docid,docno,rank,score,query,name
0,1,66,d66,0,1.4362538797907558,Adventure,Cuphead in the Delicious Last Course
1,1,51,d51,1,1.3381012351044514,Adventure,Tunic
2,1,94,d94,2,1.3328796233563118,Adventure,Owlboy
3,1,13,d13,3,1.2621579184913205,Adventure,Spelunky 2
4,1,77,d77,4,1.2620516270332809,Adventure,Guacamelee! 2
5,1,56,d56,5,1.2340949516372293,Adventure,FAR: Lone Sails
6,1,64,d64,6,1.2340949516372293,Adventure,SteamWorld Dig 2
7,1,93,d93,7,1.225015902661274,Adventure,Katamari Damacy REROLL
8,1,24,d24,8,1.1856899772697502,Adventure,Shovel Knight: Treasure Trove
9,1,23,d23,9,1.1815533602875148,Adventure,SteamWorld Heist: Ultimate Edition
10,1,0,d0,10,1.1703879140307465,Adventure,The Legend of Zelda: Breath of the Wild
11,1,83,d83,11,1.1649518662344631,Adventure,Trine 2: Complete Story
12,1,30,d30,12,1.1569253132517616,Adventure,Hollow Knight
13,1,12,d12,13,1.1333029867438043,Adventure,A Monster's Expedition
14,1,32,d32,14,1.1333029867438043,Adventure,Chicory: A Colorful Tale
15,1,89,d89,15,1.1032673497409868,Adventure,Severed
16,1,50,d50,16,1.0960055615026651,Adventure,Hyper Light Drifter
17,1,15,d15,17,1.074782661828572,Adventure,OneShot: World Machine Edition
18,1,29,d29,18,1.0678898382589301,Adventure,The Forgotten City
19,1,76,d76,19,1.0543660636160477,Adventure,Kentucky Route Zero: TV Edition
20,1,20,d20,20,1.041126286205026,Adventure,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition
21,1,79,d79,21,1.0157747005935334,Adventure,The Legend of Zelda: Link's Awakening
22,1,97,d97,22,0.962908860166845,Adventure,Velocity 2X
23,1,74,d74,23,0.9102701154193635,Adventure,Astral Chain
24,1,43,d43,24,0.9004255141771076,Adventure,TowerFall
0,1,66,d66,0,1.6372484748838658,Adventure,Cuphead in the Delicious Last Course
1,1,51,d51,1,1.5253599918798153,Adventure,Tunic
