,qid,docid,docno,rank,score,query,name,relevance
0,1,79,d79,0,14.568145332145315,Legend of Zelda,The Legend of Zelda: Link's Awakening,5
1,1,0,d0,1,10.24229023888372,Legend of Zelda,The Legend of Zelda: Breath of the Wild,5
2,1,51,d51,2,3.2730441542676796,Legend of Zelda,Tunic,1
0,1,79,d79,0,8.4764243317817,Legend of Zelda,The Legend of Zelda: Link's Awakening,5
1,1,0,d0,1,5.959440698499629,Legend of Zelda,The Legend of Zelda: Breath of the Wild,5
2,1,51,d51,2,1.8974596385927778,Legend of Zelda,Tunic,1
0,1,79,d79,0,7.0810637153911244,Legend of Zelda,The Legend of Zelda: Link's Awakening,5
1,1,0,d0,1,4.591808136796649,Legend of Zelda,The Legend of Zelda: Breath of the Wild,5
2,1,51,d51,2,1.3460428104814655,Legend of Zelda,Tunic,1
0,1,79,d79,0,13.71561769998561,Legend of Zelda,The Legend of Zelda: Link's Awakening,5
1,1,0,d0,1,10.137758756690776,Legend of Zelda,The Legend of Zelda: Breath of the Wild,5
2,1,51,d51,2,3.0137291042401078,Legend of Zelda,Tunic,1
