,qid,docid,docno,rank,score,query,name,relevance
0,1,11,d11,0,4.873563681151325,Platformer,Celeste,5
1,1,94,d94,1,4.600486336985779,Platformer,Owlboy,5
2,1,97,d97,2,4.5456043350747715,Platformer,Velocity 2X,5
3,1,64,d64,3,4.259527165141813,Platformer,SteamWorld Dig 2,5
4,1,77,d77,4,3.6389938357563434,Platformer,Guacamelee! 2,5
5,1,79,d79,5,3.5059862493577527,Platformer,The Legend of Zelda: Link's Awakening,3
6,1,34,d34,6,2.846208387481751,Platformer,Dead Cells,5
7,1,83,d83,7,2.7909228224512157,Platformer,Trine 2: Complete Story,4
8,1,91,d91,8,1.7314867066095236,Platformer,OlliOlli World,4
0,1,11,d11,0,2.9271560745909504,Platformer,Celeste,5
1,1,94,d94,1,2.7631405699000364,Platformer,Owlboy,5
2,1,97,d97,2,2.730177384069341,Platformer,Velocity 2X,5
3,1,64,d64,3,2.5583539340116985,Platformer,SteamWorld Dig 2,5
4,1,77,d77,4,2.1856496823730454,Platformer,Guacamelee! 2,5
5,1,79,d79,5,2.1057627679988515,Platformer,The Legend of Zelda: Link's Awakening,3
6,1,34,d34,6,1.7094874954010542,Platformer,Dead Cells,5
7,1,83,d83,7,1.6762819217995013,Platformer,Trine 2: Complete Story,4
8,1,91,d91,8,1.0399642156985642,Platformer,OlliOlli World,4
0,1,11,d11,0,2.8672379482136927,Platformer,Celeste,5
1,1,94,d94,1,2.586552957725329,Platformer,Owlboy,5
2,1,97,d97,2,2.5306163464116724,Platformer,Velocity 2X,5
3,1,64,d64,3,2.294660364061521,Platformer,SteamWorld Dig 2,5
4,1,77,d77,4,1.8830107169349681,Platformer,Guacamelee! 2,5
5,1,79,d79,5,1.7631818967689346,Platformer,The Legend of Zelda: Link's Awakening,3
6,1,34,d34,6,1.3586205104190405,Platformer,Dead Cells,5
7,1,83,d83,7,1.325959410289577,Platformer,Trine 2: Complete Story,4
8,1,91,d91,8,0.6989999806434897,Platformer,OlliOlli World,5
0,1,11,d11,0,3.0968191039160775,Platformer,Celeste,5
1,1,94,d94,1,2.91935376797988,Platformer,Owlboy,5
2,1,97,d97,2,2.881563984338447,Platformer,Velocity 2X,5
3,1,64,d64,3,2.7129533417223053,Platformer,SteamWorld Dig 2,5
4,1,77,d77,4,2.3821175051753136,Platformer,Guacamelee! 2,5
5,1,79,d79,5,2.2769828400748544,Platformer,The Legend of Zelda: Link's Awakening,3
6,1,34,d34,6,1.8944703984849733,Platformer,Dead Cells,5
7,1,83,d83,7,1.8619240255064002,Platformer,Trine 2: Complete Story,4
8,1,91,d91,8,1.2133223820085806,Platformer,OlliOlli World,5
