,qid,docid,docno,rank,score,query,name,relevance
0,1,0,d0,0,12.259260110027599,hunt wild beasts,The Legend of Zelda: Breath of the Wild,5
1,1,18,d18,1,6.0682458961175385,hunt wild beasts,INSIDE,4
2,1,61,d61,2,5.909273046985356,hunt wild beasts,Monster Hunter Rise,5
3,1,99,d99,3,4.685992037099054,hunt wild beasts,Firewatch,3
4,1,20,d20,4,4.246728730884904,hunt wild beasts,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,4
5,1,42,d42,5,4.180747268005216,hunt wild beasts,Death's Door,3
6,1,14,d14,6,4.0206843841575965,hunt wild beasts,Dead Cells: The Queen & The Sea,2
7,1,51,d51,7,3.2730441542676796,hunt wild beasts,Tunic,4
8,1,59,d59,8,3.019659398549659,hunt wild beasts,Metroid Dread,3
0,1,0,d0,0,7.147337663374048,hunt wild beasts,The Legend of Zelda: Breath of the Wild,5
1,1,18,d18,1,3.5509305577477743,hunt wild beasts,INSIDE,4
2,1,61,d61,2,3.4579050677627916,hunt wild beasts,Monster Hunter Rise,5
3,1,99,d99,3,2.7355388836027528,hunt wild beasts,Firewatch,3
4,1,20,d20,4,2.4850408304338334,hunt wild beasts,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,4
5,1,42,d42,5,2.423676194485017,hunt wild beasts,Death's Door,3
6,1,14,d14,6,2.352767387343191,hunt wild beasts,Dead Cells: The Queen & The Sea,2
7,1,51,d51,7,1.8974596385927778,hunt wild beasts,Tunic,4
8,1,59,d59,8,1.767001702940312,hunt wild beasts,Metroid Dread,3
0,1,0,d0,0,5.589182220470732,hunt wild beasts,The Legend of Zelda: Breath of the Wild,5
1,1,18,d18,1,3.4292731474426628,hunt wild beasts,INSIDE,4
2,1,61,d61,2,3.1432276610525443,hunt wild beasts,Monster Hunter Rise,5
3,1,42,d42,3,2.1240595141791814,hunt wild beasts,Death's Door,3
4,1,20,d20,4,1.999782517816394,hunt wild beasts,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,4
5,1,99,d99,5,1.9830097014053358,hunt wild beasts,Firewatch,3
6,1,14,d14,6,1.8331721850392158,hunt wild beasts,Dead Cells: The Queen & The Sea,2
7,1,51,d51,7,1.5899089860358306,hunt wild beasts,Tunic,4
8,1,59,d59,8,1.286935790136473,hunt wild beasts,Metroid Dread,3
0,1,0,d0,0,11.154726854536218,hunt wild beasts,The Legend of Zelda: Breath of the Wild,5
1,1,99,d99,1,5.061739077149539,hunt wild beasts,Firewatch,3
2,1,18,d18,2,4.446523478640274,hunt wild beasts,INSIDE,4
3,1,61,d61,3,4.243137308208807,hunt wild beasts,Monster Hunter Rise,5
4,1,20,d20,4,3.1855373008819465,hunt wild beasts,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,4
5,1,14,d14,5,2.9974527710772447,hunt wild beasts,Dead Cells: The Queen & The Sea,2
6,1,42,d42,6,2.873988891332453,hunt wild beasts,Death's Door,3
7,1,59,d59,7,2.327765090731773,hunt wild beasts,Metroid Dread,3
8,1,51,d51,8,2.312061939681139,hunt wild beasts,Tunic,4
