,qid,docid,docno,rank,score,query,name
0,1,83,d83,0,8.105847720886077,many environments and dangerous world,Trine 2: Complete Story
1,1,8,d8,1,5.803125859745704,many environments and dangerous world,Ori and the Will of the Wisps
2,1,59,d59,2,5.2613268687155275,many environments and dangerous world,Metroid Dread
3,1,99,d99,3,4.7515479130954725,many environments and dangerous world,Firewatch
4,1,90,d90,4,3.887562359380336,many environments and dangerous world,Axiom Verge
5,1,67,d67,5,3.8037236674702775,many environments and dangerous world,Cave Story +
6,1,64,d64,6,3.6807451413776637,many environments and dangerous world,SteamWorld Dig 2
7,1,81,d81,7,3.385213638299816,many environments and dangerous world,Two Point Campus
8,1,7,d7,8,3.265229543911934,many environments and dangerous world,Divinity: Original Sin II - Definitive Edition
9,1,74,d74,9,3.158130570199634,many environments and dangerous world,Astral Chain
10,1,47,d47,10,3.067014006540616,many environments and dangerous world,Streets of Rage 4: Mr. X Nightmare
11,1,9,d9,11,2.9485855129430734,many environments and dangerous world,Undertale
12,1,3,d3,12,2.685560646758173,many environments and dangerous world,Portal Companion Collection
13,1,51,d51,13,2.5076135742263976,many environments and dangerous world,Tunic
14,1,53,d53,14,2.3986106080282648,many environments and dangerous world,13 Sentinels: Aegis Rim
15,1,6,d6,15,2.1036829384051208,many environments and dangerous world,Hades
16,1,15,d15,16,0.8539508722555536,many environments and dangerous world,OneShot: World Machine Edition
17,1,1,d1,17,0.8005654745912589,many environments and dangerous world,Super Mario Odyssey
18,1,94,d94,18,0.7914693731227626,many environments and dangerous world,Owlboy
19,1,19,d19,19,0.7275201234504809,many environments and dangerous world,Retro City Rampage DX
20,1,91,d91,20,0.7275065229945256,many environments and dangerous world,OlliOlli World
21,1,12,d12,21,0.7147198881565275,many environments and dangerous world,A Monster's Expedition
22,1,32,d32,22,0.7147198881565275,many environments and dangerous world,Chicory: A Colorful Tale
23,1,89,d89,23,0.7023369365605823,many environments and dangerous world,Severed
24,1,54,d54,24,0.693377110102345,many environments and dangerous world,Fez
0,1,83,d83,0,5.50160210043957,many environments and dangerous world,Trine 2: Complete Story
1,1,8,d8,1,4.109051835400871,many environments and dangerous world,Ori and the Will of the Wisps
2,1,59,d59,2,3.7254171887781213,many environments and dangerous world,Metroid Dread
3,1,99,d99,3,3.430921425574564,many environments and dangerous world,Firewatch
4,1,67,d67,4,3.3567284708790486,many environments and dangerous world,Cave Story +
5,1,90,d90,5,3.220926633931163,many environments and dangerous world,Axiom Verge
6,1,7,d7,6,2.700146586325274,many environments and dangerous world,Divinity: Original Sin II - Definitive Edition
7,1,74,d74,7,2.6115822375163544,many environments and dangerous world,Astral Chain
8,1,9,d9,8,2.438301197569995,many environments and dangerous world,Undertale
9,1,51,d51,9,2.4090833053038834,many environments and dangerous world,Tunic
10,1,64,d64,10,2.2911134488260303,many environments and dangerous world,SteamWorld Dig 2
11,1,53,d53,11,2.0579834353354887,many environments and dangerous world,13 Sentinels: Aegis Rim
12,1,81,d81,12,2.0132082276324637,many environments and dangerous world,Two Point Campus
13,1,47,d47,13,1.90909089551713,many environments and dangerous world,Streets of Rage 4: Mr. X Nightmare
14,1,15,d15,14,1.7757964588027206,many environments and dangerous world,OneShot: World Machine Edition
15,1,3,d3,15,1.6716517659037395,many environments and dangerous world,Portal Companion Collection
16,1,1,d1,16,1.6647811730244784,many environments and dangerous world,Super Mario Odyssey
17,1,94,d94,17,1.6458657701582677,many environments and dangerous world,Owlboy
18,1,19,d19,18,1.512882884607511,many environments and dangerous world,Retro City Rampage DX
19,1,91,d91,19,1.512854602369846,many environments and dangerous world,OlliOlli World
20,1,12,d12,20,1.4862647110739389,many environments and dangerous world,A Monster's Expedition
21,1,32,d32,21,1.4862647110739389,many environments and dangerous world,Chicory: A Colorful Tale
22,1,89,d89,22,1.460514281736565,many environments and dangerous world,Severed
23,1,54,d54,23,1.4418822636510293,many environments and dangerous world,Fez
24,1,36,d36,24,1.4175349045035017,many environments and dangerous world,Super Mario 3D World + Bowser's Fury
0,1,83,d83,0,4.8672649798065954,many environments and dangerous world,Trine 2: Complete Story
1,1,8,d8,1,3.2914054930304255,many environments and dangerous world,Ori and the Will of the Wisps
2,1,59,d59,2,2.9695997735037514,many environments and dangerous world,Metroid Dread
3,1,99,d99,3,2.9417695450871553,many environments and dangerous world,Firewatch
4,1,67,d67,4,2.7614361061855437,many environments and dangerous world,Cave Story +
5,1,90,d90,5,2.464274328841256,many environments and dangerous world,Axiom Verge
6,1,7,d7,6,2.1790938635666066,many environments and dangerous world,Divinity: Original Sin II - Definitive Edition
7,1,64,d64,7,2.152444779517737,many environments and dangerous world,SteamWorld Dig 2
8,1,74,d74,8,2.106598743001599,many environments and dangerous world,Astral Chain
9,1,9,d9,9,1.9699803948638093,many environments and dangerous world,Undertale
10,1,15,d15,10,1.8957887773718656,many environments and dangerous world,OneShot: World Machine Edition
11,1,51,d51,11,1.7739954346293203,many environments and dangerous world,Tunic
12,1,47,d47,12,1.6748388606757592,many environments and dangerous world,Streets of Rage 4: Mr. X Nightmare
13,1,81,d81,13,1.639158102369826,many environments and dangerous world,Two Point Campus
14,1,1,d1,14,1.5341225553782754,many environments and dangerous world,Super Mario Odyssey
15,1,94,d94,15,1.499285079384819,many environments and dangerous world,Owlboy
16,1,3,d3,16,1.414956259520083,many environments and dangerous world,Portal Companion Collection
