,qid,docid,docno,rank,score,query,name
0,1,80,d80,0,7.065790073373726,relaxing games,Super Mega Baseball 3
1,1,12,d12,1,6.3444366798656135,relaxing games,A Monster's Expedition
2,1,46,d46,2,0.0990764577453098,relaxing games,Dream Daddy: A Dad Dating Simulator
3,1,27,d27,3,0.08978642633873729,relaxing games,Bastion
4,1,43,d43,4,0.0874407564931146,relaxing games,TowerFall
5,1,55,d55,5,0.0874407564931146,relaxing games,Nuclear Throne
6,1,16,d16,6,0.087064119695168,relaxing games,Bayonetta 2
7,1,36,d36,7,0.08450203475657089,relaxing games,Super Mario 3D World + Bowser's Fury
8,1,79,d79,8,0.08242302713561511,relaxing games,The Legend of Zelda: Link's Awakening
9,1,35,d35,9,0.08175811502174034,relaxing games,Into the Breach
10,1,51,d51,10,0.08076439215982892,relaxing games,Tunic
11,1,21,d21,11,0.07795328181523024,relaxing games,Sonic Mania Plus
12,1,82,d82,12,0.07795328181523024,relaxing games,The Stanley Parable: Ultra Deluxe
13,1,4,d4,13,0.07504300871473217,relaxing games,Tetris Effect: Connected
14,1,56,d56,14,0.0744868370357001,relaxing games,FAR: Lone Sails
15,1,9,d9,15,0.07286230787546763,relaxing games,Undertale
16,1,24,d24,16,0.07156523571754843,relaxing games,Shovel Knight: Treasure Trove
17,1,0,d0,17,0.07064164204326792,relaxing games,The Legend of Zelda: Breath of the Wild
18,1,1,d1,18,0.06982907365137021,relaxing games,Super Mario Odyssey
19,1,30,d30,19,0.06982907365137021,relaxing games,Hollow Knight
20,1,39,d39,20,0.06863295753119669,relaxing games,NieR: Automata - The End of YoRHa Edition
21,1,32,d32,21,0.06840329001724386,relaxing games,Chicory: A Colorful Tale
22,1,31,d31,22,0.0674796453088906,relaxing games,Bayonetta + Bayonetta 2
23,1,62,d62,23,0.06529259072025294,relaxing games,Downwell
24,1,15,d15,24,0.06487115183010178,relaxing games,OneShot: World Machine Edition
0,1,80,d80,0,4.124792218181824,relaxing games,Super Mega Baseball 3
1,1,12,d12,1,3.703688161423367,relaxing games,A Monster's Expedition
2,1,46,d46,2,1.5173565411043275,relaxing games,Dream Daddy: A Dad Dating Simulator
3,1,27,d27,3,1.3750796547216513,relaxing games,Bastion
4,1,43,d43,4,1.339155707050084,relaxing games,TowerFall
5,1,55,d55,5,1.339155707050084,relaxing games,Nuclear Throne
6,1,16,d16,6,1.333387512243867,relaxing games,Bayonetta 2
7,1,36,d36,7,1.2941491661330402,relaxing games,Super Mario 3D World + Bowser's Fury
8,1,79,d79,8,1.262309152022197,relaxing games,The Legend of Zelda: Link's Awakening
9,1,35,d35,9,1.2521260190337231,relaxing games,Into the Breach
10,1,51,d51,10,1.2369071474785625,relaxing games,Tunic
11,1,21,d21,11,1.1938549757900285,relaxing games,Sonic Mania Plus
12,1,82,d82,12,1.1938549757900285,relaxing games,The Stanley Parable: Ultra Deluxe
13,1,4,d4,13,1.149284125903646,relaxing games,Tetris Effect: Connected
14,1,56,d56,14,1.1407663533231438,relaxing games,FAR: Lone Sails
15,1,9,d9,15,1.1158866795480673,relaxing games,Undertale
16,1,24,d24,16,1.096022011715853,relaxing games,Shovel Knight: Treasure Trove
17,1,0,d0,17,1.0818771690873985,relaxing games,The Legend of Zelda: Breath of the Wild
18,1,1,d1,18,1.0694326793206157,relaxing games,Super Mario Odyssey
19,1,30,d30,19,1.0694326793206157,relaxing games,Hollow Knight
20,1,39,d39,20,1.051114153808418,relaxing games,NieR: Automata - The End of YoRHa Edition
21,1,32,d32,21,1.0475967944628575,relaxing games,Chicory: A Colorful Tale
22,1,31,d31,22,1.0334511702472746,relaxing games,Bayonetta + Bayonetta 2
23,1,62,d62,23,0.9999564161821631,relaxing games,Downwell
24,1,15,d15,24,0.9935020770667047,relaxing games,OneShot: World Machine Edition
0,1,80,d80,0,3.9192287321614425,relaxing games,Super Mega Baseball 3
1,1,12,d12,1,3.4243919660638524,relaxing games,A Monster's Expedition
2,1,46,d46,2,1.6259288581620126,relaxing games,Dream Daddy: A Dad Dating Simulator
3,1,27,d27,3,1.2665384425526756,relaxing games,Bastion
4,1,43,d43,4,1.2073829573938968,relaxing games,TowerFall
5,1,55,d55,5,1.2073829573938968,relaxing games,Nuclear Throne
6,1,16,d16,6,1.1875544503115196,relaxing games,Bayonetta 2
7,1,36,d36,7,1.1215121073462204,relaxing games,Super Mario 3D World + Bowser's Fury
8,1,79,d79,8,1.0729500446601261,relaxing games,The Legend of Zelda: Link's Awakening
9,1,35,d35,9,1.0686683128214594,relaxing games,Into the Breach
10,1,51,d51,10,1.0551353018266902,relaxing games,Tunic
11,1,21,d21,11,0.979975523097017,relaxing games,Sonic Mania Plus
12,1,82,d82,12,0.979975523097017,relaxing games,The Stanley Parable: Ultra Deluxe
13,1,4,d4,13,0.9236551564535301,relaxing games,Tetris Effect: Connected
14,1,56,d56,14,0.9138105366514377,relaxing games,FAR: Lone Sails
15,1,9,d9,15,0.8946997695297978,relaxing games,Undertale
16,1,24,d24,16,0.8751616515490513,relaxing games,Shovel Knight: Treasure Trove
17,1,0,d0,17,0.8696546143093118,relaxing games,The Legend of Zelda: Breath of the Wild
18,1,1,d1,18,0.840878827493551,relaxing games,Super Mario Odyssey
19,1,30,d30,19,0.840878827493551,relaxing games,Hollow Knight
20,1,39,d39,20,0.8343480070113637,relaxing games,NieR: Automata - The End of YoRHa Edition
21,1,31,d31,21,0.8263214306208048,relaxing games,Bayonetta + Bayonetta 2
22,1,32,d32,22,0.8214965069257785,relaxing games,Chicory: A Colorful Tale
23,1,62,d62,23,0.783194416040441,relaxing games,Downwell
24,1,15,d15,24,0.7783892161709757,relaxing games,OneShot: World Machine Edition
0,1,80,d80,0,5.19294856468232,relaxing games,Super Mega Baseball 3
1,1,12,d12,1,4.7050212054966645,relaxing games,A Monster's Expedition
2,1,46,d46,2,1.171387610499356,relaxing games,Dream Daddy: A Dad Dating Simulator
3,1,27,d27,3,1.0734187454343729,relaxing games,Bastion
4,1,43,d43,4,1.052376506025961,relaxing games,TowerFall
5,1,55,d55,5,1.052376506025961,relaxing games,Nuclear Throne
6,1,16,d16,6,1.0448957873437945,relaxing games,Bayonetta 2
7,1,36,d36,7,1.0182131700385464,relaxing games,Super Mario 3D World + Bowser's Fury
8,1,79,d79,8,0.9966117657912062,relaxing games,The Legend of Zelda: Link's Awakening
9,1,35,d35,9,0.9946161267201041,relaxing games,Into the Breach
10,1,51,d51,10,0.988204281391394,relaxing games,Tunic
11,1,21,d21,11,0.9493624207933294,relaxing games,Sonic Mania Plus
12,1,82,d82,12,0.9493624207933294,relaxing games,The Stanley Parable: Ultra Deluxe
13,1,4,d4,13,0.9159113869795212,relaxing games,Tetris Effect: Connected
14,1,56,d56,14,0.9095991832125091,relaxing games,FAR: Lone Sails
15,1,9,d9,15,0.8968950488960408,relaxing games,Undertale
16,1,24,d24,16,0.8832395500578052,relaxing games,Shovel Knight: Treasure Trove
17,1,0,d0,17,0.8792590259193571,relaxing games,The Legend of Zelda: Breath of the Wild
18,1,1,d1,18,0.8574202239812688,relaxing games,Super Mario Odyssey
19,1,30,d30,19,0.8574202239812688,relaxing games,Hollow Knight
20,1,39,d39,20,0.852200946724884,relaxing games,NieR: Automata - The End of YoRHa Edition
21,1,31,d31,21,0.8456411566621261,relaxing games,Bayonetta + Bayonetta 2
22,1,32,d32,22,0.84161775582627,relaxing games,Chicory: A Colorful Tale
23,1,62,d62,23,0.8072848249223199,relaxing games,Downwell
24,1,15,d15,24,0.8026425065212967,relaxing games,OneShot: World Machine Edition
